Country Name,Country Code,Series Name,Series Code,2007Q4 [YR2007Q4],2008Q1 [YR2008Q1],2008Q2 [YR2008Q2],2008Q3 [YR2008Q3],2008Q4 [YR2008Q4],2009Q1 [YR2009Q1],2009Q2 [YR2009Q2],2009Q3 [YR2009Q3],2009Q4 [YR2009Q4],2010Q1 [YR2010Q1],2010Q2 [YR2010Q2],2010Q3 [YR2010Q3],2010Q4 [YR2010Q4],2011Q1 [YR2011Q1],2011Q2 [YR2011Q2],2011Q3 [YR2011Q3],2011Q4 [YR2011Q4],2012Q1 [YR2012Q1],2012Q2 [YR2012Q2],2012Q3 [YR2012Q3],2012Q4 [YR2012Q4],2013Q1 [YR2013Q1],2013Q2 [YR2013Q2],2013Q3 [YR2013Q3],2013Q4 [YR2013Q4],2014Q1 [YR2014Q1],2014Q2 [YR2014Q2],2014Q3 [YR2014Q3],2014Q4 [YR2014Q4],2015Q1 [YR2015Q1],2015Q2 [YR2015Q2],2015Q3 [YR2015Q3],2015Q4 [YR2015Q4],2016Q1 [YR2016Q1],2016Q2 [YR2016Q2],2016Q3 [YR2016Q3],2016Q4 [YR2016Q4],2017Q1 [YR2017Q1],2017Q2 [YR2017Q2],2017Q3 [YR2017Q3],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q2 [YR2018Q2],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1]
Guatemala,GTM,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,HND,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,118886685.158269,117665173.288342,148155745.574484,144621759.163422,168826655.992432,171386551.900997,152433660.37067,123264799.070042,132524222.501504,125468899.608688,132439960.374578,128651655.991387,140225602.456569,152254658.936058,169311758.431652,175117825.604095,0,198740444.663677,204937138.463515,197686743.858608,0,194927502.136796,190195137.242609,184083088.768513,0,0,0,0,0,0,0,0,0,0,0,0,22090890.9113343,66438239.5505235,82974684.8941116,102776851.59062,116008631.544139,32973912.7492079,21822153.8848,8226364.1952,37371355,30828926.48892,37865804.893176,39349388.7828854,51806373.0464786,..
Hungary,HUN,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iceland,ISL,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Indonesia,IDN,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,4771769370.23839,4636189563.61028,4480116849.9024,4463348740.53172,5567058794.18845,7509591066.80374,8807908987.87739,11546312323.4215,12963840515.6985,11859075879.1767,11176600170.1326,11525355936.4035,12350083721.638,12110276270.7324,10311720388.9405,13148404945.8255,15179976504.0938,14541445972.4256,14175602035.1037,14647227234.4275,7959201547.05388,12984732247.3418,10085465587.4503,10715667881.6441,11806196956.2013,8614244312.84567,11045661145.26,14094089211.8017,16040918244.6469,11170448674.9224,19696964686.9259,12761156413.7612,15704517381.7872,19670599106.837,20460193968.5646,22770221131.9406,23185999828.879,27459159531.6418,22110546052.3179,21919179959.6201,..
Ireland,IRL,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,ITA,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kenya,KEN,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700024.0628,1274479.8,850287.12405,866171.93091,0,0,0,0,0,0,0,0,0,..,0,0,0,0,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38506849920,..,..,..,40317044000,..,..,..,47256852000,..,..,..,47091744011.4752,..,..,..,52661211163.4155,..,..,..,54709765460,..,..,..,67285386147,..,..,..,68955370718.1826,..,..,..,..,..
Kosovo,XKX,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
